"","MCF7_EV","MCF7_EVA","MCF7_EVAS","MCF7_OV","MCF7_OVA_1","MCF7_OVA_2","MCF7_OVAS_1","MCF7_OVAS_2"
"IFITM1",53368,38410,27654,56197,33579,39873,26485,31126
"IFITM3",120234,87444,62446,128914,92163,99825,58642,71516
"B4GALNT4",2792,2361,2074,3592,1957,2724,1454,2200
"PKP3",10734,10084,8593,13727,9805,12095,5676,8609
"SIGIRR",3522,2413,2564,4574,2651,3423,1543,2217
"ANO9",2326,1780,1990,2875,1596,2072,1311,1722
"PTDSS2",134,129,76,154,78,92,100,146
"RNH1",28,149,13,20,12,275,10,130
"LRRC56",0,14,5,5,7,2,0,3
"HRAS",16,279,90,41,25,10,6,10
"LMNTD2",17,0,4,6,1,2,2,3
"RASSF7",129,123,81,243,84,130,49,60
"MIR210HG",0,1,0,0,0,1,0,0
"PHRF1",10,8,7,103,13,7,10,6
"IRF7",48,18,10,23,55,54,8,8
"CDHR5",0,0,1,0,0,0,0,0
"DEAF1",1697,1359,1079,2068,969,1274,932,1210
"TMEM80",813,649,746,995,538,701,572,748
"EPS8L2",5324,3945,3958,6573,3441,4689,2595,3866
"TALDO1",15129,11976,11321,16896,11800,13377,10958,11787
"GATD1",1843,1626,1664,2318,1351,1950,1223,1488
"GATD1-DT",195,133,155,227,141,153,138,165
"CEND1",9,7,1,8,6,7,5,4
"SLC25A22",1959,1896,1362,2705,1613,2175,831,1287
"PANO1",73,63,52,86,65,81,47,52
"PIDD1",1162,1027,1017,1719,939,1445,489,774
"RPLP2",27351,19305,20591,34876,27454,30787,14653,14934
"SNORA52",107,68,64,105,62,93,46,67
"PNPLA2",4375,3595,3390,5362,3299,4454,2733,3596
"CRACR2B",3625,2829,3297,5019,3496,4379,2001,2847
"CD151",8296,6678,5875,9881,5966,8151,4544,6081
"POLR2L",6518,4779,6269,9892,6976,7883,3832,4950
"TSPAN4",4128,3385,2880,5682,3474,4727,1698,2534
"CHID1",3044,2674,2163,3561,2252,2767,1857,2649
"AP2A2",130,34,30,73,14,41,40,167
"MUC2",0,0,0,1,0,1,0,0
"MUC5AC",30,14,11,28,3,11,5,6
"MUC5B",7031,6489,2523,6435,3123,5253,2051,3202
"TOLLIP",2071,1535,1432,2509,1381,1879,1076,1493
"TOLLIP-DT",103,87,86,120,53,94,70,72
"BRSK2",334,346,250,420,231,345,160,237
"MOB2",1162,833,869,1345,849,1127,743,889
"DUSP8",7,26,2,18,10,10,1,5
"KRTAP5-AS1",1,0,1,0,1,0,0,0
"KRTAP5-1",0,0,0,1,0,0,0,1
"IFITM10",343,472,366,494,475,651,358,412
"CTSD",42184,48402,32672,54936,49617,59721,24986,40738
"SYT8",34,77,43,58,53,113,19,38
"TNNI2",11,7,5,10,20,27,6,13
"LSP1",3,0,2,1,1,1,2,0
"TNNT3",0,0,0,0,0,1,0,0
"MRPL23",459,380,345,575,470,499,252,280
"MRPL23-AS1",10,5,5,5,8,9,3,9
"H19",35,56,23,42,44,77,43,36
"IGF2",1,4,2,3,3,4,0,3
"MIR483",0,0,0,0,0,1,1,0
"IGF2-AS",5,8,6,7,2,3,4,6
"INS",0,0,2,0,2,4,0,0
"TH",94,175,130,143,208,287,56,103
"MIR4686",4,3,2,2,3,0,2,0
"ASCL2",1050,1159,975,1223,1254,1543,655,789
"C11orf21",1,1,4,2,1,2,2,1
"TSPAN32",31,38,46,50,21,30,15,23
"CD81-AS1",13,13,4,17,0,12,10,7
"CD81",18912,18223,14333,20066,14539,19481,12548,18123
"TSSC4",2901,2292,2193,3880,2683,3325,1406,2191
"TRPM5",14,21,8,21,13,20,5,4
"KCNQ1",30,29,21,27,12,25,27,17
"KCNQ1OT1",868,694,615,930,432,545,519,571
"KCNQ1-AS1",0,1,0,0,0,0,0,0
"CDKN1C",1,0,1,0,0,0,0,0
"SLC22A18AS",19,12,12,31,24,21,8,14
"SLC22A18",147,326,152,206,80,191,58,121
"PHLDA2",1,0,1,4,2,1,2,2
"NAP1L4",163,155,332,208,96,171,190,137
"CARS1",236,304,191,325,197,170,110,286
"OSBPL5",1312,1142,894,1525,796,1093,634,941
"MRGPRG",1,3,3,3,0,0,1,0
"MRGPRG-AS1",27,28,16,25,15,18,12,20
"ZNF195",1707,1638,1665,2001,1113,1729,1548,1333
"ART5",3,10,1,3,2,3,3,3
"ART1",2,0,0,0,2,0,0,3
"CHRNA10",71,47,57,56,47,44,42,40
"NUP98",10969,10304,7487,11438,5572,7593,8767,9452
"PGAP2",4308,3666,2790,4332,2778,3637,3034,3104
"RHOG",4230,3496,3151,4936,3212,4086,2825,3519
"STIM1",2170,2070,1518,2045,1219,1685,1733,2149
"RRM1",12926,12414,9513,15267,7684,11814,10456,9677
"LINC02749",20,17,24,26,9,25,13,15
"TRIM21",4719,3544,2493,4617,2406,3114,2727,3050
"OR52K1",0,0,0,0,2,0,0,0
"OR52I2",1,0,0,0,0,0,0,0
"TRIM68",292,363,232,301,183,302,268,310
"HBB",0,0,0,0,1,0,0,0
"HBE1",0,0,0,0,0,0,0,1
"OR51B4",0,0,0,0,0,0,0,1
"OR51B5",1,0,1,3,0,2,0,0
"UBQLNL",5,3,0,3,1,5,4,9
"OR52B6",0,0,1,0,0,0,0,0
"TRIM6",20,11,7,13,5,11,13,15
"TRIM34",4,1,1,1,0,0,0,2
"TRIM5",1884,1415,1114,1919,665,1092,1130,1245
"TRIM22",2386,1886,1064,2696,974,1410,1120,1326
"OR52N2",0,0,0,0,0,2,0,0
"OR56B4",1,2,0,1,1,1,1,0
"OR52B2",1,0,0,1,0,0,0,0
"OR52W1",0,1,2,1,0,0,0,0
"C11orf42",7,11,9,5,4,4,15,17
"FHIP1B",2778,2271,1819,3194,1443,1945,1571,2247
"CNGA4",23,15,20,43,12,20,31,20
"CCKBR",0,0,0,0,0,0,0,3
"CAVIN3",1,0,0,3,0,0,0,1
"SMPD1",2156,1657,1330,2160,1528,1555,1359,1852
"APBB1",104,79,68,118,68,62,67,99
"HPX",416,280,390,480,227,255,310,360
"TRIM3",4118,3329,3143,4703,2354,3203,2807,3487
"ARFIP2",15473,13849,12455,17163,10367,12869,12567,14259
"TIMM10B",2930,2784,2659,3346,1786,2645,2631,2453
"DNHD1",1038,1002,733,1016,449,689,812,1008
"RRP8",1388,1137,979,1534,901,1121,898,967
"ILK",10274,7486,6885,10915,5395,7012,7351,8279
"TAF10",4854,3929,3813,5227,3493,4194,3879,3965
"TPP1",6589,6077,5744,6592,3015,5072,5636,6438
"DCHS1",13,15,12,15,12,18,6,14
"MRPL17",6562,5610,4956,8318,5697,6885,4520,4266
"GVINP1",0,0,0,0,1,0,1,0
"ZNF214",0,1,0,0,0,0,0,0
"SYT9",1,1,1,1,0,0,1,2
"SYT9-AS1",15,10,9,11,13,8,21,15
"OLFML1",9,2,2,12,2,0,4,4
"PPFIBP2",1909,899,1133,2205,625,728,1342,1294
"CYB5R2",10,3,4,11,1,3,5,9
"OVCH2",3,1,1,5,1,2,3,4
"EIF3F",9702,8546,7028,10282,6534,8791,7869,7844
"TUB",458,552,307,414,200,395,331,471
"RIC3",453,391,320,460,194,308,330,310
"LMO1",130,96,139,150,82,117,97,112
"STK33",1,0,3,0,0,1,3,0
"TRIM66",2870,2665,2243,2754,1343,1992,2726,2760
"RPL27A",22078,16841,18667,31086,21467,25784,14501,13627
"SNORA3A",82,85,75,113,44,59,60,57
"SNORA3B",164,86,106,149,64,111,77,97
"DENND2B",422,328,265,382,242,312,256,359
"AKIP1",924,735,770,1119,694,805,630,687
"C11orf16",2,1,3,6,2,2,3,2
"TMEM9B",2367,2185,2453,2753,1504,2469,1897,1768
"TMEM9B-AS1",44,33,43,43,20,29,57,47
"NRIP3",1,1,3,2,1,1,1,1
"SCUBE2",63,56,21,51,22,34,41,36
"DENND5A",4718,4029,2988,4860,2237,3053,3723,3962
"TMEM41B",1496,1245,1497,1603,1069,1416,1100,1204
"IPO7",11664,11721,10568,13288,5748,9702,9473,9604
"SNORA23",3,3,2,8,3,7,5,3
"ZNF143",980,876,702,1115,469,780,780,700
"WEE1",6395,3290,2490,7789,2082,2704,3048,2145
"SWAP70",1169,931,850,1216,481,722,904,980
"LINC02709",33,19,28,30,17,25,18,26
"SBF2-AS1",210,185,198,266,113,188,157,153
"SBF2",1236,1090,1032,1399,477,778,1108,1216
"ADM",361,121,105,421,133,121,125,119
"AMPD3",90,52,58,82,25,57,50,65
"RNF141",1546,1307,1406,1569,748,1079,1383,1302
"IRAG1-AS1",0,0,0,2,1,1,0,0
"LYVE1",2,1,0,0,0,0,0,1
"IRAG1",3,1,0,3,0,2,0,1
"CTR9",4171,3167,3080,4866,1854,2653,3348,3220
"EIF4G2",54682,53557,48880,61380,25970,44459,50948,48427
"SNORD97",30,18,11,19,6,6,25,13
"ZBED5",1482,1330,1629,1776,660,1211,1133,1025
"ZBED5-AS1",525,376,603,550,272,434,595,491
"GALNT18",1087,1170,684,1234,887,1100,707,876
"CSNK2A3",527,471,404,528,265,368,459,437
"USP47",3734,3671,3471,4413,1950,3085,3282,2905
"DKK3",0,0,0,1,0,1,2,3
"MICAL2",490,838,382,519,671,815,631,808
"PARVA",897,948,739,953,563,812,846,927
"TEAD1",4563,4412,3388,4343,1435,2606,3477,3766
"LINC00958",0,1,0,1,0,0,0,0
"RASSF10",15,18,5,17,7,3,4,8
"BMAL1",730,899,673,751,501,735,680,759
"BTBD10",2478,2179,2195,2933,1454,2134,2179,1920
"FAR1",4586,5194,4503,5070,2393,4029,4412,4221
"SPON1",22,21,15,29,5,28,21,34
"RRAS2",1140,1114,979,1289,621,925,1013,944
"COPB1",11045,11025,11129,13260,5531,10364,10021,9111
"PSMA1",9258,9318,9914,10991,6135,10185,8313,7422
"PDE3B",482,575,562,511,256,459,500,542
"CYP2R1",957,859,1041,1102,571,816,693,715
"CALCB",0,0,0,1,0,1,0,0
"INSC",0,0,1,1,1,2,0,0
"SOX6",7,3,3,5,1,2,3,2
"C11orf58",7667,7010,6936,9195,4890,6972,6424,6160
"PLEKHA7",3586,3446,2356,4240,1946,2695,2206,2929
"RPS13",16551,14544,15774,20677,14133,18441,12099,10376
"SNORD14A",52,63,100,54,29,73,37,51
"PIK3C2A",4030,3877,3583,4102,1413,2598,3354,3437
"NUCB2",3026,2767,2801,3971,1751,3019,2232,1820
"NCR3LG1",366,398,216,372,145,251,266,343
"KCNJ11",1405,1426,867,1460,1437,1810,747,1142
"ABCC8",186,201,100,181,256,334,216,375
"USH1C",18,11,7,11,5,15,3,6
"OTOG",3,2,0,0,0,0,0,0
"MYOD1",0,0,1,1,0,0,0,0
"KCNC1",93,116,65,108,66,92,78,94
"SERGEF",1197,959,955,1325,949,1022,924,977
"TPH1",19,27,17,12,15,20,18,15
"SAAL1",1789,1746,1506,2159,1274,1920,1405,1251
"MRGPRX3",1,0,1,1,0,0,0,0
"SLC25A51P4",2,1,2,4,1,0,0,0
"SAA2",1,2,1,2,2,0,1,1
"SAA1",1,7,3,1,9,5,1,1
"HPS5",2605,2465,2233,2737,1173,1978,2274,2225
"GTF2H1",3281,3303,3040,3998,1762,2907,2849,2691
"MIR3159",0,1,0,0,0,0,0,0
"LDHA",63295,55909,52194,61456,41174,59308,50652,52913
"LDHC",0,0,1,0,0,0,2,0
"LDHAL6A",4,5,7,2,0,1,4,6
"TSG101",6787,5784,5741,7741,4103,6120,5375,5436
"UEVLD",2019,1974,2112,2226,1022,1620,1766,1778
"SPTY2D1OS",101,76,80,108,68,94,66,69
"SPTY2D1",2923,2580,2269,3423,1334,1971,2032,2336
"TMEM86A",229,200,195,261,137,170,195,246
"IGSF22",10,9,10,11,4,6,9,11
"PTPN5",1,0,1,2,0,1,0,0
"ZDHHC13",1501,1362,1349,1730,779,1236,1169,1139
"CSRP3",0,0,0,1,0,0,1,1
"E2F8",2045,1901,1295,2203,954,1484,1391,1486
"NAV2",82,165,35,120,82,117,58,89
"HTATIP2",4882,4196,4502,5604,3293,4471,4349,4389
"PRMT3",1550,1767,1458,1865,1032,1491,1353,1160
"ANO5",2,2,0,0,0,0,0,0
"SLC17A6",0,0,2,0,0,0,0,0
"FANCF",921,876,909,1014,511,868,675,775
"GAS2",4,3,3,4,4,9,3,4
"SVIP",834,791,895,1105,587,826,736,779
"CCDC179",0,1,0,0,0,1,0,0
"LUZP2",5,0,0,1,1,1,1,3
"ANO3",7,11,6,8,8,6,6,3
"MUC15",0,0,2,0,0,1,2,0
"SLC5A12",5,4,5,9,0,3,1,3
"FIBIN",1,0,0,0,0,1,0,0
"BBOX1",0,0,0,0,0,1,0,1
"BBOX1-AS1",15,8,21,24,6,26,10,12
"CCDC34",1164,1057,1081,1660,941,1294,941,801
"LGR4",1424,1473,1482,1369,459,1090,1180,1375
"LGR4-AS1",0,1,1,5,1,2,0,2
"LIN7C",1651,1363,1460,1772,1013,1332,1367,1333
"BDNF-AS",15,14,22,19,10,7,16,19
"MIR8087",0,0,0,0,0,0,0,4
"BDNF",1,1,0,3,0,6,0,0
"KIF18A",1048,962,1053,1319,470,907,856,767
"METTL15",870,798,683,1029,435,686,752,730
"MIR8068",0,1,0,1,0,0,0,0
"FSHB",0,0,0,0,0,2,0,0
"ARL14EP",603,595,648,738,369,581,486,490
"MPPED2",21,14,18,36,6,15,12,23
"DCDC1",0,1,4,0,0,1,2,1
"DNAJC24",487,508,502,544,251,383,337,416
"IMMP1L",293,268,294,319,173,302,259,240
"ELP4",1614,1512,1840,2046,929,1652,1398,1248
"PAX6",37,32,33,21,19,20,24,27
"RCN1",4437,4184,3639,4943,3224,4034,3706,3940
"WT1",2,0,2,3,3,2,4,2
"EIF3M",5007,5039,4525,5947,3242,5223,4002,3743
"CCDC73",11,12,13,12,6,12,11,7
"PRRG4",731,652,586,733,378,539,533,610
"QSER1",2372,2634,2580,2519,1146,1906,2176,2133
"DEPDC7",0,1,0,2,0,1,0,1
"TCP11L1",960,808,656,853,414,557,674,787
"LINC00294",587,407,551,477,242,393,500,494
"CSTF3",2467,2550,2666,2899,1403,2278,2101,2027
"CSTF3-DT",1,0,0,2,1,2,2,0
"HIPK3",2061,2217,1869,2072,759,1258,1685,1922
"KIAA1549L",42,30,25,31,18,26,22,20
"C11orf91",64,67,48,60,55,60,35,44
"CD59",23794,23595,17776,26643,15626,21049,19983,18217
"FBXO3",1783,1678,1734,1952,929,1517,1554,1593
"FBXO3-DT",0,0,0,0,0,0,1,0
"LMO2",303,303,230,365,216,303,234,238
"CAPRIN1",23215,22400,23430,25657,10166,18202,20354,20186
"NAT10",11533,11512,8372,11685,7000,9377,9603,11002
"ABTB2",4441,3755,2957,5012,2243,3201,3038,3851
"CAT",3603,3429,3181,4142,2233,3082,3379,3387
"ELF5",2298,3579,3340,2795,2190,3240,3376,3176
"EHF",3026,7383,4916,3634,3891,6450,4478,4301
"APIP",1482,2371,1926,1885,1584,2456,1774,1410
"PDHX",3041,3896,3159,3885,1958,3431,3095,2946
"CD44-DT",0,0,2,3,0,1,1,1
"CD44",536,404,317,498,226,344,368,409
"SLC1A2",981,843,896,997,393,702,697,714
"PAMR1",8,10,17,19,7,15,19,18
"FJX1",925,1123,699,1036,736,1122,655,746
"TRIM44",5951,5644,4451,6385,3105,4516,4910,4823
"LDLRAD3",549,625,506,485,321,538,458,563
"COMMD9",3501,2842,2749,3737,2079,2795,2630,2870
"PRR5L",154,146,105,192,72,114,98,103
"TRAF6",1123,1165,1104,1179,562,915,1080,1020
"RAG1",35,23,14,36,12,20,30,30
"RAG2",0,0,0,0,0,1,0,0
"IFTAP",221,173,210,249,141,173,170,153
"API5",6766,6679,7000,7775,3670,5593,5820,5190
"TTC17",6182,5620,4852,6868,3149,4579,5210,5245
"HSD17B12",931,1149,1093,1157,671,1029,842,863
"ALKBH3",1277,972,876,1320,764,939,955,956
"ALKBH3-AS1",7,8,5,6,2,8,8,2
"ACCSL",14,4,5,7,1,2,3,4
"C11orf96",3,0,0,2,3,2,0,1
"ACCS",956,767,891,1021,551,750,773,946
"EXT2",4489,4323,3253,4757,2381,3391,4065,4135
"ALX4",9,3,3,1,0,1,1,3
"CD82",1604,1350,1154,1732,1174,1429,997,1371
"TSPAN18",19,23,16,15,5,22,22,25
"TP53I11",8360,6865,6142,9846,5112,6962,5641,7443
"LINC02685",1,0,0,0,1,0,0,0
"PRDM11",555,532,443,583,281,392,434,545
"SYT13",131,108,73,112,54,72,76,67
"LINC02696",7,12,10,15,8,12,3,8
"LINC02687",0,0,0,0,0,0,1,0
"CHST1",92,130,78,119,103,152,68,97
"SLC35C1",2104,1902,1487,2318,1489,1897,1516,2018
"CRY2",1973,2242,1607,2124,1555,2011,1758,2302
"MAPK8IP1",1180,1002,719,1290,863,949,550,882
"C11orf94",25,10,8,30,24,18,8,11
"PEX16",2797,2136,2217,3770,2528,2965,1361,1977
"LARGE2",771,955,615,967,632,946,496,706
"PHF21A",4361,3756,3339,4866,2345,3225,3537,3774
"CREB3L1",138,134,93,197,86,107,117,142
"DGKZ",10439,9254,7975,13567,7453,10402,6063,8932
"MIR4688",0,0,0,2,0,3,1,0
"MDK",41071,29108,26902,50856,29415,34142,18822,23463
"CHRM4",86,59,31,84,40,66,44,59
"AMBRA1",5972,4636,3332,6101,2894,3670,3952,4894
"HARBI1",648,544,472,668,316,466,568,510
"ATG13",11690,9540,8218,11945,6614,7971,9533,10988
"ARHGAP1",17758,15342,11156,17504,9520,12645,12168,16113
"ZNF408",2023,1710,1439,2530,1533,1988,1132,1603
"F2",4,13,4,3,5,9,8,8
"CKAP5",26994,24703,19613,29466,12398,18934,24190,24249
"MIR5582",2,1,1,0,0,2,3,0
"SNORD67",22,19,19,22,7,12,14,13
"LRP4-AS1",10,13,14,11,13,15,10,14
"LRP4",216,193,110,184,63,154,116,182
"CSTPP1",2299,1830,1650,2573,1444,1808,1807,2032
"ARFGAP2",16956,13692,10957,17584,11002,12525,12059,14778
"PACSIN3",6926,4983,4330,8344,5290,6011,3178,4584
"MIR6745",0,1,0,1,2,1,1,3
"DDB2",6517,4562,4134,6590,3729,4322,4549,4981
"ACP2",5408,4080,3709,6122,3299,4102,3611,4673
"NR1H3",1191,812,688,1252,753,937,654,834
"MADD",13385,10258,8223,13883,6677,8105,9271,11468
"MADD-AS1",8,5,11,1,2,8,5,13
"MYBPC3",1,4,0,2,1,0,1,2
"SPI1",20,13,14,14,7,9,13,14
"SLC39A13",2772,2411,2432,3532,2043,2716,1790,2447
"PSMC3",24228,19450,15504,27082,20173,21244,15591,17605
"RAPSN",24,20,14,41,24,27,15,24
"CELF1",15577,14982,11852,15833,7866,11337,12613,14040
"PTPMT1",4849,4564,4253,5830,3604,5333,4065,3897
"KBTBD4",1909,1783,1317,1982,931,1280,1570,1816
"NDUFS3",8596,7531,6979,9717,6980,8567,6744,6951
"FAM180B",8,6,3,3,9,9,3,2
"C1QTNF4",0,1,3,3,1,2,2,1
"MTCH2",13017,12737,11530,15276,8978,13389,11793,11289
"AGBL2",297,251,270,370,160,219,212,267
"FNBP4",8267,7671,6438,9181,4037,6194,6911,6453
"NUP160",9146,9056,6785,9895,3661,6780,7093,7371
"PTPRJ",4612,5941,4340,4651,3803,4796,5067,5215
"MIR3161",0,0,0,0,0,0,0,4
"FOLH1",0,0,0,0,0,0,2,0
"GRM5P1",0,0,0,0,1,0,1,0
"OR5M11",0,1,0,0,0,0,0,0
"TNKS1BP1",11055,9483,6982,11925,6752,8311,6617,10271
"SSRP1",20704,18512,12994,21606,13774,17268,15741,17592
"P2RX3",1,1,0,1,3,1,1,0
"PRG2",2,1,0,2,1,2,1,2
"SLC43A3",65,72,68,82,60,74,69,96
"RTN4RL2",111,118,128,156,90,135,62,106
"SLC43A1",72,74,39,80,53,53,38,49
"TIMM10",3697,2839,2775,4212,3583,3552,2786,2750
"SMTNL1",145,134,63,136,67,105,55,79
"UBE2L6",27757,21516,14182,28853,17210,20184,15846,18516
"SERPING1",236,181,142,243,136,173,162,179
"CLP1",1054,976,822,1224,628,869,836,933
"ZDHHC5",8281,7806,6109,8549,4916,6475,6727,7710
"MED19",874,683,623,929,574,677,700,776
"TMX2",5645,5507,4675,6365,4287,5711,5080,4731
"SELENOH",1524,1186,1492,2464,1430,1865,1061,976
"BTBD18",11,3,6,9,4,7,6,11
"CTNND1",297,278,165,335,91,150,288,277
"LPXN",324,311,389,410,160,280,294,347
"ZFP91",5149,5109,4893,5456,2775,3969,4375,4437
"CNTF",0,0,2,0,0,2,2,1
"GLYAT",0,0,0,0,0,0,0,1
"GLYATL2",3,0,4,3,1,0,1,0
"GLYATL1",0,0,0,2,0,0,0,0
"FAM111B",1694,1563,1850,2193,853,1763,1262,929
"FAM111A-DT",456,375,347,539,191,318,372,405
"FAM111A",2827,2341,2741,3367,1480,2273,2475,2138
"DTX4",812,641,555,652,451,519,624,788
"OSBP",5682,5089,4101,5975,2738,3926,4888,5225
"MIR3162",0,0,0,0,0,1,0,0
"PATL1",7021,6373,4593,7412,2979,4905,5127,5423
"OR10V2P",2,0,2,2,0,0,2,1
"STX3",3915,3170,3044,4585,2097,2958,3169,3298
"MRPL16",4678,4189,3781,5758,3529,5119,3894,3564
"CBLIF",1,0,1,0,0,1,1,0
"TCN1",0,1,0,0,0,3,1,0
"MS4A4E",1,1,1,0,5,2,0,1
"MS4A7",1,0,1,3,0,0,1,2
"MS4A14",0,0,0,1,0,0,1,0
"MS4A5",0,0,0,0,0,0,1,0
"MS4A12",0,0,1,0,0,0,0,0
"MS4A15",0,1,0,1,0,2,0,0
"MS4A10",2,1,1,2,0,0,1,1
"CCDC86",4039,4103,3028,4776,3610,4463,2563,3229
"PTGDR2",16,13,14,14,13,14,11,12
"ZP1",22,24,20,21,14,16,13,20
"PRPF19",21157,20864,16419,22636,15332,20258,16822,20132
"TMEM109",12115,10776,7999,12921,7893,11067,7960,9719
"TMEM132A",14685,11898,9885,18064,9803,13750,6913,10979
"SLC15A3",1720,766,420,1458,954,1149,465,724
"CD6",7,9,6,5,4,2,7,4
"CD5",75,61,55,50,35,44,21,62
"VPS37C",5199,4501,3798,5971,3195,4250,3572,4406
"PGA3",3,7,0,2,0,2,0,3
"PGA5",41,28,26,15,19,17,10,10
"VWCE",104,117,95,95,119,131,89,120
"DDB1",35219,37484,26301,35497,23166,30424,32705,37502
"TKFC",8069,7123,6199,9854,5853,7655,4731,6508
"CYB561A3",3708,3032,2597,3684,2345,2928,2405,3014
"TMEM138",2396,2284,1925,2589,1537,2527,2017,1986
"TMEM216",1263,980,1007,1403,710,1099,965,946
"CPSF7",11349,10756,7913,11235,5878,8359,9364,10524
"SDHAF2",3207,2583,2612,3392,2099,2668,2515,2454
"PPP1R32",109,67,97,113,78,70,62,94
"LRRC10B",280,318,249,277,259,304,196,289
"SYT7",4129,3396,2802,4195,2039,2788,2611,3339
"RPLP0P2",137,104,91,162,93,127,75,101
"DAGLA",871,774,541,960,454,755,408,674
"MYRF",253,280,160,253,179,226,174,254
"MYRF-AS1",0,0,0,0,0,0,1,0
"TMEM258",4749,3402,3692,5354,3162,3935,3599,3355
"MIR611",2,1,3,1,4,3,0,1
"FEN1",12035,9845,7114,13564,8192,10107,7405,8243
"FADS1",4759,5540,2968,4923,3166,4575,3560,3998
"FADS2",1904,1592,1296,1847,1095,1456,1407,1778
"FADS3",2829,3019,2247,3159,2536,3205,1825,2817
"MIR6746",5,3,1,2,5,5,2,7
"RAB3IL1",540,471,382,628,429,574,280,391
"BEST1",49,32,34,54,32,29,29,60
"FTH1",193907,177877,137563,212497,159917,179928,149041,164587
"INCENP",6004,4833,3818,6761,2972,4115,3855,5218
"SCGB2A1",0,2,1,0,1,0,1,0
"SCGB1D2",0,0,1,0,0,1,2,0
"SCGB1D4",0,0,0,0,2,0,0,0
"ASRGL1",516,425,421,654,383,440,373,439
"SCGB1A1",0,0,3,2,0,0,0,0
"AHNAK",40472,40192,25132,34193,15670,24108,33007,38693
"EEF1G",68792,57713,47058,71535,49797,56331,48980,57540
"MIR6747",2,0,0,0,0,5,0,1
"TUT1",2872,2399,2228,3313,2000,2452,1906,2527
"MTA2",18115,15444,12867,18510,11028,14474,13310,15670
"EML3",6994,6816,5090,7951,4955,6791,4554,6191
"ROM1",352,379,325,413,395,446,294,361
"B3GAT3",4741,3859,3724,5927,4308,4880,2606,3724
"GANAB",46818,41353,31702,45534,23758,33576,36978,46316
"INTS5",4538,3708,2889,4754,2594,3433,2879,4213
"C11orf98",20,14,9,11,12,23,9,12
"LBHD1",462,438,405,499,280,371,438,468
"CSKMT",389,303,269,463,257,330,227,311
"UQCC3",1406,1102,1280,2328,1715,1793,607,934
"UBXN1",6259,4936,4553,7655,4986,5398,4121,5396
"LRRN4CL",4,4,9,3,8,6,6,3
"BSCL2",14,16,9,33,6,31,13,15
"GNG3",28,28,28,29,13,26,25,38
"HNRNPUL2",4139,3262,4002,4057,2855,3608,3833,3621
"TTC9C",1381,1233,1054,1686,924,1223,1032,1108
"ZBTB3",295,222,240,240,184,291,255,350
"POLR2G",6927,5806,5330,7669,5225,6413,5382,5331
"TAF6L",1858,1456,1259,2036,1011,1630,1128,1413
"TMEM179B",3333,2757,2820,3742,2347,3227,2952,3328
"MIR6748",30,20,17,34,22,31,22,35
"TMEM223",1262,1164,1024,1499,935,1548,823,947
"NXF1",6899,5966,4814,6777,3769,5035,5025,5884
"MIR6514",0,3,4,4,0,1,4,1
"STX5",2965,1953,1873,3248,1708,1874,1963,2138
"WDR74",6011,5318,4535,6533,5381,5810,3963,4854
"SNHG1",6369,4838,4101,7759,3243,5396,3362,3147
"SNORD22",312,251,165,394,162,214,152,178
"SNORD30",140,113,88,139,33,104,57,72
"SNORD28",96,75,52,105,20,58,49,39
"SNORD27",153,101,67,156,36,87,65,59
"SNORD26",119,89,50,164,34,85,57,70
"SNORD25",204,99,79,195,55,77,70,74
"SLC3A2",37594,30731,29765,46810,26244,38420,27843,34026
"CHRM1",175,119,136,140,91,108,97,110
"SLC22A6",0,0,1,0,0,0,0,0
"SLC22A8",0,3,3,3,2,0,1,1
"SLC22A24",0,0,0,0,1,0,0,0
"SLC22A25",0,0,0,2,0,0,1,0
"SLC22A10",1,1,0,0,0,0,2,0
"PLAAT5",0,1,0,1,1,0,1,0
"LGALS12",1,0,1,0,1,0,0,1
"PLAAT4",3844,2444,2012,4142,2413,2313,2235,2293
"PLAAT2",82,53,65,97,71,67,59,42
"PLAAT3",1484,1168,1135,1906,1116,1329,1040,1021
"ATL3",5825,5615,5702,5989,3605,5271,5135,5506
"RTN3",12812,11159,12524,14539,8257,11931,11719,10482
"ZFTA",656,409,493,568,225,390,421,502
"SPINDOC",1801,1362,1244,2411,1289,1553,965,1235
"MARK2",8703,7383,5769,9135,5016,6346,5637,7215
"RCOR2",164,127,92,164,93,108,62,113
"NAA40",2935,2382,1991,3041,1414,1919,2037,2301
"COX8A",11536,9521,8713,14579,9009,12301,7466,8624
"OTUB1",11443,9861,8506,12888,8286,10026,7228,9207
"MACROD1",2400,1925,2309,3648,2381,3300,1559,1891
"FLRT1",28,19,21,51,31,26,15,26
"STIP1",20759,19343,13640,23725,15063,18874,15333,17309
"FERMT3",130,97,104,125,79,111,64,105
"TRPT1",1936,1568,1565,2431,1388,1840,1303,1494
"NUDT22",2821,1952,2154,3702,2347,2796,1306,1771
"DNAJC4",1577,1270,1539,2186,1419,1623,1133,1279
"VEGFB",4272,3046,2668,4737,3080,3563,2628,3071
"FKBP2",2121,1433,1671,2658,1982,2198,1136,1303
"PPP1R14B",7670,6457,6066,9262,7123,8288,4945,5699
"PLCB3",7003,5832,4612,7885,4150,5535,4081,5965
"GPR137",4362,3596,3003,5211,3158,3822,2352,3436
"BAD",342,287,394,760,346,708,74,125
"KCNK4",13,6,10,18,11,19,9,12
