"Entrez_ID","HGNC Symbol","MCF7_EV","MCF7_EVA","MCF7_EVAS","MCF7_OV","MCF7_OVA_1","MCF7_OVA_2","MCF7_OVAS_1","MCF7_OVAS_2","ZR751_EV","ZR751_EVA","ZR751_OV","ZR751_OVA"
102724539,"LINC01714",1,1,0,0,0,0,0,0,0,0,0,0
50651,"SLC45A1",7,10,4,3,9,4,0,7,16,14,14,11
473,"RERE",6338,5812,4525,6179,3037,4585,4411,5683,4958,5653,4968,4141
102724552,NA,2,1,0,5,7,1,6,3,2,3,7,3
2023,"ENO1",163874,124431,105823,161256,95781,121824,107254,132885,80650,109130,80598,77729
102465436,"MIR6728",5,0,1,4,5,6,2,1,6,0,5,2
100505975,"ENO1-AS1",24,23,30,38,17,44,36,35,9,9,9,10
765,"CA6",0,0,0,2,0,0,0,0,5,5,12,9
155184,"SLC2A7",2,2,0,1,1,3,0,1,0,2,1,1
6518,"SLC2A5",10,17,11,10,18,30,11,23,28,33,45,33
80045,"GPR157",424,384,258,422,227,289,255,420,1237,1429,1000,884
407040,"MIR34A",1,0,2,0,0,2,3,0,2,1,7,6
9563,"H6PD",4050,3914,2816,3877,2219,2884,3095,3958,2837,3367,2726,2658
80176,"SPSB1",1018,1136,864,1123,820,1054,937,1234,1852,2307,1915,1664
100506022,"LINC02606",49,28,30,39,26,39,40,36,19,19,20,15
84275,"SLC25A33",990,982,906,1075,651,962,874,766,543,817,624,615
199953,"TMEM201",1944,1916,1398,2376,1534,2285,975,1455,1828,1853,2036,1276
5293,"PIK3CD",145,141,116,152,84,107,85,128,321,490,303,350
644997,"PIK3CD-AS1",0,0,0,0,0,0,0,0,0,0,0,0
101929074,"PIK3CD-AS2",17,14,11,20,13,15,5,14,10,6,8,5
22883,"CLSTN1",19436,16751,13168,19405,10505,13295,14045,18452,15266,18526,13667,12587
56998,"CTNNBIP1",2101,1828,1894,2400,1501,1972,1617,1976,2421,3413,2407,2391
84328,"LZIC",1215,1186,1079,1295,688,1010,1080,1040,895,1111,787,748
